,majaxis_pix,majaxis_H,sum_Qphi_H,sum_Uphi_H,f_H,majaxis_V,sum_Qphi_V,sum_Uphi_V,f_V,majaxis_I,sum_Qphi_I,sum_Uphi_I,f_I
184,188,2306.7599999999998,2171.2724977038633,0.004129017834013064,1.0021772957107578,,,,,,,,
185,189,2319.0299999999997,2167.327582694703,0.0047174465467588475,1.0021558426804533,,,,,,,,
186,190,2331.2999999999997,2187.3473489428156,0.003332333037312523,1.002127074631943,,,,,,,,
187,191,2343.5699999999997,2225.3068223001633,0.0050343091854752895,1.0021090025217223,,,,,,,,
188,192,2355.84,2189.4401588933983,0.005086339489083135,1.0020826516258414,,,,,,,,
189,193,2368.11,2227.392573772573,0.002728049926666676,1.0020685290422888,,,,,,,,
190,194,2380.38,2271.3427657371117,0.00404806882051191,1.0020504321642432,,,,,,,,
191,195,2392.65,2285.3689572098556,0.0038299515816783494,1.0020263873697657,,,,,,,,
192,196,2404.92,2275.438836953971,0.0014676159304556921,1.0020045201707706,,,,,,,,
193,197,2417.19,2303.4255022074294,0.0028895529615064024,1.0019859543050933,,,,,,,,
194,198,2429.46,2305.4814853172334,0.00244901529351279,1.0019599006591653,,,,,,,,
195,199,2441.73,2333.4643948458775,0.002809681850418821,1.0019437216030125,,,,,,,,
